"name","latitude","longitude"
"Duisentrieb","51.428307","6.756712"
"South London Makerspace","51.452","-0.101"
"FamiLAB","28.68463","-81.353095"
"FIXME","46.532193","6.591391"
"Ruum42","47.420601","9.355864"
"Freies Labor","52.168625","9.947232"
"Freies Labor Hildesheim","52.168545","9.946667"
"Bytespeicher","50.98272","11.03953"
"ACKspace","50.892481","5.971238"
"PostTenebrasLab","46.187488","6.133643"
"HackLab Almería","36.841469","-2.464125"
"WerkRaum","50.8972","14.8042"
"polytechnischer Werkraum Zittau","50.89733","14.80433"
"CCC Berlin","52.52194","13.38261"
"Majstrownia - Solarpunk Makerspace","52.013447","21.035905"
"Maschinenraum","50.974943","11.329522"
"Brmlab","50.08346","14.48032"
"Kirishi Hackerspace","59.451146","32.036745"
"Ylab","43.862222","-79.4225"
"HackerSpace Adelaide","-34.928634","138.599936"
"Makerspaces Mackay, Inc.","-21.146031","149.185775"
"CHAMP","40.813598","-81.425294"
"757 Makerspace","36.869334","-76.290546"
"ActivSpaces","4.155169","9.231388"
"Milton Keynes Makerspace","52.04806","-0.824087"
"Laboratório Hacker de Campinas","-22.91782","-47.052451"
"Genspace NYC","40.68752","-73.979857"
"Hackers Lounge","52.49983","13.46423"
"Randomdata","52.071713","5.107397"
"Gangplank","33.245898","-111.634794"
"Gangplank Queen Creek","33.245637","-111.634841"
"Port39 - Hackerspace Stralsund","54.31244","13.10012"
"Odenwilusenz","47.695165","8.580697"
"MakerSpace Minden","52.282296","8.910554"
"Binary Kitchen","49.00984","12.11917"
"Arete.Study","48.52233","30.42342"
"Keystone Makers","40.335312","-76.959814"
"Temporärhaus","48.39632","10.00204"
"HSBNE","-27.565726","152.936888"
"Hackerspace Lodz","51.76927","19.44527"
"The Tooolbox","39.958334","-75.15659"
"Sequoia Fabrica","37.762607","-122.39972"
"Datenburg","50.736594","7.089627"
"XHain","52.512818","13.449541"
"xHain Hack + Makespace","52.512754","13.449764"
"DingFabrik Köln","50.95367","6.93054"
"801 Labs","40.765409","-111.880766"
"Queer Computer Club","43.665371","-79.40342"
"Init Lab","42.687975","23.316872"
"Hackerspace Budapest","47.489196","19.059512"
"Makerspace Thailand","18.786772","98.991627"
"C4","50.950414","6.912965"
"Sunlab","48.80006","2.16119"
"OpenLab Augsburg","48.36263","10.90261"
"NSHkr","21.5928","-158.1034"
"FUBAR Labs","40.459417","-74.483764"
"London Hackspace","51.5277","-0.2642"
"Manchester Makerspace","42.986566","-71.464348"
"Leinelab","52.40122","9.7025"
"Paul-Dohrmann-Schule","52.400989","9.702142"
"Canton Hacker and Maker Place","40.810167","-81.414762"
"NPC Innovative Technology Center","34.491628","-93.104966"
"Claremont Makerspace","43.374195","-72.340752"
"Electrolab","48.895262","2.18635"
"LaBi: Laboratoire de Bidouille","45.730244","4.827138"
"HacKNology","47.65946","9.16595"
"Innovationswerkstatt Konstanz","47.658788","9.16644"
"EOF Hackspace","51.767875","-1.269601"
"EOF Hackspace Cooperative","51.767839","-1.269583"
"SteamHead","22.493218","113.925273"
"Makespace Madrid","40.461708","-3.704345"
"Calango hacker clube","-15.756525","-47.890461"
"Macherburg","52.108106","11.633832"
"FabLab Saga","33.25384","130.30349"
"Open Garage","51.250705","4.569843"
"Hack Manhattan","40.738319","-73.99836"
"DoESLiverpool","53.41051","-2.970466"
"OlyMEGA","47.0455","-122.8985"
"Passable","47.612836","-122.319114"
"The Make Space","40.79309","-77.86166"
"Counter Culture Labs","37.835004","-122.264125"
"Sudo room","37.835004","-122.264125"
"BioCurious","37.383901","-122.00798"
"HackEns","48.841888","2.344029"
"Newport Makerspace Creudy Casnewydd","51.589837","-2.979173"
"H3O","-21.001494","55.676839"
"Leeds Hackspace","53.80628","-1.53352"
"Ventspils design studio RADE","57.405516","21.607729"
"GuayaHack","6.05554","-75.502072"
"TDvenlo","51.3694","6.16998"
"Swansea Hackspace","51.6202","-3.9461"
"Null Hacklab","41.492978","2.150552"
"IT-Syndikat","47.257873","11.396009"
"Spielraum FabLab","47.25867","11.395536"
"Noisebridge","37.762376","-122.419217"
"Chaostreff Bern","46.94424","7.422"
"Raumfahrtagentur","52.543666","13.374809"
"MAKE RIGA","56.977533","24.194085"
"Area515","41.609821","-93.617744"
"Black Ice","43.245564","76.89549"
"Red Circle","51.816019","5.810689"
"Kiberpipa","46.068477","14.490328"
"Hacklablaraiz.net","40.455667","-3.700972"
"Krautspace","50.929291","11.582513"
"Hackspace Jena","50.929246","11.582632"
"Makerspace Wacken","54.020476","9.375443"
"CCCAC","50.77166","6.09147"
"MAG Laboratory","34.038489","-117.82359"
