0,name,brand,class_1,lab,city,county,country_code
1128,scan in a box,scan in a box,scanner,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1129,ox cnc,openbuilds,cnc_milling,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1130,simple metal with extended heatbed,printrbot,three_d_printer,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1131,creatr hs,leapfrog,three_d_printer,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1132,pico 2 405 nm,asiga,three_d_printer,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1133,x2 cnc,badog,cnc_milling,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1134,scanify,fuel 3d,scanner,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1135,cronos3d  dual 2.0 mpx,open technologies,scanner,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1136,aurum 3d,open technologies,scanner,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1215,gx-24,roland,vinyl_cutting,AgriLab,Beauvais,Oise,FR
1216,srm-20 monofab,roland,precision_milling,AgriLab,Beauvais,Oise,FR
1217,ultimaker 2+,ultimaker,three_d_printer,AgriLab,Beauvais,Oise,FR
1218,form2,formlabs,three_d_printer,AgriLab,Beauvais,Oise,FR
1219,ultimaker 3 extended,ultimaker,three_d_printer,AgriLab,Beauvais,Oise,FR
1220,cameo 3,silhouette,vinyl_cutting,AgriLab,Beauvais,Oise,FR
1221,pocket nc 5 axis,pocket nc,precision_milling,AgriLab,Beauvais,Oise,FR
1222,x-reflow306 lf-ac advanced model ,bokar,other,AgriLab,Beauvais,Oise,FR
1223,pick and place xmp302d,bokar,other,AgriLab,Beauvais,Oise,FR
1224,otii,qoitech,other,AgriLab,Beauvais,Oise,FR
1225,gx-24,roland,vinyl_cutting,FabLab du Dôme à Caen,Caen,Normandie,FR
1226,mdx-40a,roland,precision_milling,FabLab du Dôme à Caen,Caen,Normandie,FR
1227,ultimaker 2+,ultimaker,three_d_printer,FabLab du Dôme à Caen,Caen,Normandie,FR
1228,ultimaker s5,ultimaker,three_d_printer,FabLab du Dôme à Caen,Caen,Normandie,FR
1229,heat press machine 38x38cm,xingyang,other,FabLab du Dôme à Caen,Caen,Normandie,FR
1230,innov-is nv800e,brother,other,FabLab du Dôme à Caen,Caen,Normandie,FR
1231,prsalpha 96x48,"shopbot tools, inc",cnc_milling,FabLab du Dôme à Caen,Caen,Normandie,FR
1281,shopbot gantry,"shopbot tools, inc",cnc_milling,La Machinerie,Amiens,Somme,FR
1282,ultimaker 2+,ultimaker,three_d_printer,La Machinerie,Amiens,Somme,FR
1283,othermill,other machine co,precision_milling,La Machinerie,Amiens,Somme,FR
1284,x-carve,inventables,cnc_milling,La Machinerie,Amiens,Somme,FR
1285,ultimaker original,ultimaker,three_d_printer,La Machinerie,Amiens,Somme,FR
1367,sense 3d scanner,"3d systems, inc",scanner,MillauLab,Millau,Aveyron,FR
1368,ultimaker 2+,ultimaker,three_d_printer,MillauLab,Millau,Aveyron,FR
1369,camm-1 gs-24,roland,vinyl_cutting,MillauLab,Millau,Aveyron,FR
1370,witbox 2,bq,three_d_printer,MillauLab,Millau,Aveyron,FR
1371,open maker machine pro xl,mon-fablab.fr,cnc_milling,MillauLab,Millau,Aveyron,FR
1372,ciclop,bq,other,MillauLab,Millau,Aveyron,FR
1373,lm1390,arketype,laser,MillauLab,Millau,Aveyron,FR
1374,alu line 1110,sorotec,cnc_milling,MillauLab,Millau,Aveyron,FR
1375,lathe, lf300 x 900,other,MillauLab,Millau,Aveyron,FR
1376,dm45,tech-machines,other,MillauLab,Millau,Aveyron,FR
1466,mdx-40a,roland,precision_milling,Fab Lab in New Cairo (FLiNC),Cairo,Egypt,EG
1467,cubepro duo,"3d systems, inc",three_d_printer,Fab Lab in New Cairo (FLiNC),Cairo,Egypt,EG
1468,gx 500/300,roland,vinyl_cutting,Fab Lab in New Cairo (FLiNC),Cairo,Egypt,EG
1469,morn mt3050d,morn,laser,Fab Lab in New Cairo (FLiNC),Cairo,Egypt,EG
1470,mdx-40a,roland,precision_milling,Makeo,Dax,Aquitaine,FR
1471,legend mini 24,epilog laser,laser,Makeo,Dax,Aquitaine,FR
1472,versacamm sp-i,roland,vinyl_cutting,Makeo,Dax,Aquitaine,FR
1600,srm-20 monofab,roland,precision_milling,FabLab on wheels,Cairo,Cairo,EG
1601,ultimaker 2+ extended,ultimaker,three_d_printer,FabLab on wheels,Cairo,Cairo,EG
1602,morn mt3050d,morn,laser,FabLab on wheels,Cairo,Cairo,EG
1647,ultimaker 2+,ultimaker,three_d_printer,Fablab Les Usines,Ligugé,,FR
1648,cnc routing,homemade cnc router,cnc_milling,Fablab Les Usines,Ligugé,,FR
1649,akj1610 h,acctek,laser,Fablab Les Usines,Ligugé,,FR
1650,akm1530,acctek,cnc_milling,Fablab Les Usines,Ligugé,,FR
1658,ultimaker 2+,ultimaker,three_d_printer,Fablab des Fabriques,Besançon,,FR
1659,ultimaker 3,ultimaker,three_d_printer,Fablab des Fabriques,Besançon,,FR
1660,speedy 100,trotec,laser,Fablab des Fabriques,Besançon,,FR
1661,ultimaker 2+,ultimaker,three_d_printer,Médiathèque Les Carmes (Coop fablab) ,Pertuis,,FR
1662,ultimaker 3,ultimaker,three_d_printer,Médiathèque Les Carmes (Coop fablab) ,Pertuis,,FR
1663,deltawasp 2040,wasp,three_d_printer,Médiathèque Les Carmes (Coop fablab) ,Pertuis,,FR
1664,form 1+,formlabs,three_d_printer,Médiathèque Les Carmes (Coop fablab) ,Pertuis,,FR
1682,ultimaker 2+,ultimaker,three_d_printer,Fabric'INSA,Toulouse,,FR
1683,ultimaker 3,ultimaker,three_d_printer,Fabric'INSA,Toulouse,,FR
1684,ultimaker s5,ultimaker,three_d_printer,Fabric'INSA,Toulouse,,FR
1697,ultimaker 3,ultimaker,three_d_printer,Fablab open innovation center CEA,Grenoble,,FR
1698,form2,formlabs,three_d_printer,Fablab open innovation center CEA,Grenoble,,FR
1699,creality cr-10s5,creality,three_d_printer,Fablab open innovation center CEA,Grenoble,,FR
1700,objet30 pro,stratasys,three_d_printer,Fablab open innovation center CEA,Grenoble,,FR
1701,zing 6030,epilog laser,laser,Fablab open innovation center CEA,Grenoble,,FR
1702,rayjet,trotec,laser,Fablab open innovation center CEA,Grenoble,,FR
1703,bn-20,roland,vinyl_cutting,Fablab open innovation center CEA,Grenoble,,FR
1704,mdx-15,roland,precision_milling,Fablab open innovation center CEA,Grenoble,,FR
1705,ultimaker 3,ultimaker,three_d_printer,LH3D Fab Lab,Le havre,Normandie,FR
1706,replicator 2x,makerbot industries,three_d_printer,LH3D Fab Lab,Le havre,Normandie,FR
1707,makerbot replicator,makerbot industries,three_d_printer,LH3D Fab Lab,Le havre,Normandie,FR
1708,"trotec laser engraving, cutting & marking machine",trotec,laser,LH3D Fab Lab,Le havre,Normandie,FR
1709,form 2,formlabs,three_d_printer,LH3D Fab Lab,Le havre,Normandie,FR
1735,cameo®,silhouette,vinyl_cutting,Antibes NavLab,Antibes,Provence-Alpes-Côte d'Azur,FR
1736,replicator 2,makerbot industries,three_d_printer,Antibes NavLab,Antibes,Provence-Alpes-Côte d'Azur,FR
1737,ls6480,laserscript,laser,Antibes NavLab,Antibes,Provence-Alpes-Côte d'Azur,FR
1765,cameo®,silhouette,vinyl_cutting,Laminiak,Paris,,FR
1766,cnc routing,homemade cnc router,cnc_milling,Laminiak,Paris,,FR
1767,ultimaker 2+ extended,ultimaker,three_d_printer,Laminiak,Paris,,FR
1768,zmorph 2.0 vx,zmorph,three_d_printer,Laminiak,Paris,,FR
1769,300x,formech,other,Laminiak,Paris,,FR
1770,mc4x,cncfab,cnc_milling,Laminiak,Paris,,FR
1862,cnc mill­ing mach­ine,cnc,cnc_milling,Avilab // Fablab Avignon,Avignon,France,FR
1863,prusa i3 mk2 with  multi-material upgrade,reprap,three_d_printer,Avilab // Fablab Avignon,Avignon,France,FR
1896,form2,formlabs,three_d_printer,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1897,camm-1 gs-24,roland,vinyl_cutting,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1898,up plus 2,ebpp3dp,three_d_printer,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1899,up! mini,ebpp3dp,three_d_printer,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1900,vls 6.60,universal laser systems,laser,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1901,laser scan arm,faro,laser,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1902,zmorph 2.0 sx,zmorph,three_d_printer,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1903,brother pe800 ,brother,other,Fablab Tiers lieu de Carpentras,Carpentras,,FR
1957,makerbot z18,makerbot industries,three_d_printer,LABSud Montpellier,Montpellier,,FR
1958,duplicator 7,wanhao,three_d_printer,LABSud Montpellier,Montpellier,,FR
1959,n2 plus,raise 3d,three_d_printer,LABSud Montpellier,Montpellier,,FR
